// type typid x y attr attack  slow freeze dest inter prev single
{   '-',    0,0,0,  10,    20,    0,     0,   0,  200,   0,     1},
{     0,    1,0,0,   0,     0,    0,     0,   0,    0,   0,     0},
{     0,    2,0,0,   0,     0,    0,     0,   0,    0,   0,     0},
{     0,    3,0,0,   0,     0,    0,     0,   0,    0,   0,     0},
{     0,    4,0,0,   0,     0,    0,     0,   0,    0,   0,     0},
{   '-',    5,0,0,  11,    20,10000,     0,   0,  200,   0,     1},
{     0,    6,0,0,   0,     0,    0,     0,   0,    0,   0,     0},
{   '=',    7,0,0,  10,    40,    0,     0,   0,  200,   0,     1},
{   '~',    8,0,0,  15,    20,    0,     0,   0,  100,   0,     0},
{     0,    9,0,0,   0,     0,    0,     0,   0,    0,   0,     0},
{     0,   10,0,0,   0,     0,    0,     0,   0,    0,   0,     0},
{     0,   11,0,0,   0,     0,    0,     0,   0,    0,   0,     0}
